code,name,industry,area,Lastdate
2101,广东鸿图,机械基件,广东,2016-12-09
2023,海特高新,航空,四川,2016-12-09
2024,苏宁云商,电器连锁,江苏,2016-12-09
2591,恒大高新,机械基件,江西,2016-12-09
2026,山东威达,机械基件,山东,2016-12-09
2027,七喜控股,电脑设备,广东,2016-12-09
2590,万安科技,汽车配件,浙江,2016-12-09
2028,思源电气,电气设备,上海,2016-12-09
2029,七 匹 狼,服饰,福建,2016-12-09
2030,达安基因,生物制药,广东,2016-12-09
2031,巨轮智能,汽车配件,广东,2016-12-09
2032,苏 泊 尔,家用电器,浙江,2016-12-09
2033,丽江旅游,旅游景点,云南,2016-12-09
2035,华帝股份,家用电器,广东,2016-12-09
2036,联创电子,元器件,浙江,2016-12-09
2037,久联发展,化工原料,贵州,2016-12-09
2038,双鹭药业,生物制药,北京,2016-12-09
2039,黔源电力,水力发电,贵州,2016-12-09
2022,科华生物,生物制药,上海,2016-12-09
2021,中捷资源,纺织机械,浙江,2016-12-09
2020,京新药业,化学制药,浙江,2016-12-09
2019,亿帆鑫富,化学制药,浙江,2016-12-09
2652,扬子新材,其他建材,江苏,2016-12-09
2593,日上集团,汽车配件,福建,2016-12-09
2592,八菱科技,汽车配件,广西,2016-12-09
2004,华邦健康,化学制药,重庆,2016-12-09
2005,德豪润达,家用电器,广东,2016-12-09
2006,精功科技,工程机械,浙江,2016-12-09
2007,华兰生物,生物制药,河南,2016-12-09
2008,大族激光,电器仪表,深圳,2016-12-09
2040,南 京 港,港口,江苏,2016-12-09
2009,天奇股份,工程机械,江苏,2016-12-09
2011,盾安环境,工程机械,浙江,2016-12-09
2012,凯恩股份,造纸,浙江,2016-12-09
2013,中航机电,汽车配件,湖北,2016-12-09
2014,永新股份,塑料,安徽,2016-12-09
2015,霞客环保,化纤,江苏,2016-12-09
2016,世荣兆业,区域地产,广东,2016-12-09
2017,东信和平,通信设备,广东,2016-12-09
2018,华信国际,农药化肥,安徽,2016-12-09
2010,传化股份,染料涂料,浙江,2016-12-09
2041,登海种业,种植业,山东,2016-12-09
2042,华孚色纺,纺织,安徽,2016-12-09
2043,兔 宝 宝,其他建材,浙江,2016-12-09
2082,栋梁新材,铝,浙江,2016-12-09
2083,孚日股份,纺织,山东,2016-12-09
2084,海鸥卫浴,家居用品,广东,2016-12-09
2085,万丰奥威,汽车配件,浙江,2016-12-09
2086,东方海洋,渔业,山东,2016-12-09
2087,新野纺织,纺织,河南,2016-12-09
2088,鲁阳节能,矿物制品,山东,2016-12-09
2089,新 海 宜,通信设备,江苏,2016-12-09
2080,中材科技,化纤,江苏,2016-12-09
2588,史丹利,农药化肥,山东,2016-12-09
2091,江苏国泰,商贸代理,江苏,2016-12-09
2092,中泰化学,化工原料,新疆,2016-12-09
2093,国脉科技,电信运营,福建,2016-12-09
2094,青岛金王,日用化工,山东,2016-12-09
2206,海 利 得,化纤,浙江,2016-12-09
2096,南岭民爆,化工原料,湖南,2016-12-09
2097,山河智能,工程机械,湖南,2016-12-09
2100,天康生物,饲料,新疆,2016-12-09
2090,金智科技,软件服务,江苏,2016-12-09
2102,冠福股份,陶瓷,福建,2016-12-09
2079,苏州固锝,半导体,江苏,2016-12-09
2063,远光软件,软件服务,广东,2016-12-09
2044,美年健康,服饰,江苏,2016-12-09
2045,国光电器,元器件,广东,2016-12-09
2046,轴研科技,机械基件,河南,2016-12-09
2047,宝鹰股份,装修装饰,深圳,2016-12-09
2049,同方国芯,元器件,河北,2016-12-09
2050,三花股份,机械基件,浙江,2016-12-09
2051,中工国际,建筑施工,北京,2016-12-09
