code,name,ename,id,industry,id_industry,area,id_area
000697,炼石有色,LSYS_000697,697,小金属,33,陕西,46
002774,快意电梯,KYDT_002774,2774,运输设备,17,广东,283
002783,凯龙股份,KLGF_002783,2783,化工原料,141,湖北,96
300277,海联讯,HLX_300277,300277,软件服务,157,深圳,264
300554,三超新材,SCXC_300554,300554,矿物制品,20,江苏,364
002548,金新农,JXN_002548,2548,饲料,18,深圳,264
600456,宝钛股份,BTGF_600456,600456,小金属,33,陕西,46
000851,高鸿股份,GHGF_000851,851,软件服务,157,贵州,26
002078,太阳纸业,TYZY_002078,2078,造纸,23,山东,190
300649,杭州园林,HZYL_300649,300649,建筑施工,86,浙江,397
000795,英洛华,YLH_000795,795,矿物制品,20,山西,38
002733,雄韬股份,XTGF_002733,2733,电气设备,154,深圳,264
603027,千禾味业,QHWY_603027,603027,食品,54,四川,113
600029,南方航空,NFHK_600029,600029,空运,7,广东,283
000962,东方钽业,DFTY_000962,962,小金属,33,宁夏,13
300509,新美星,XMX_300509,300509,专用机械,123,江苏,364
002165,红 宝 丽,H B L_002165,2165,化工原料,141,江苏,364
600814,杭州解百,HZJB_600814,600814,百货,47,浙江,397
601168,西部矿业,XBKY_601168,601168,铜,14,青海,12
300601,康泰生物,KTSW_300601,300601,生物制药,41,深圳,264
002812,创新股份,CXGF_002812,2812,广告包装,35,云南,33
002492,恒基达鑫,HJDX_002492,2492,仓储物流,28,广东,283
000932,*ST华菱,*STHL_000932,932,普钢,24,湖南,97
000505,珠江控股,ZJKG_000505,505,房产服务,6,海南,30
600997,开滦股份,KLGF_600997,600997,煤炭开采,30,河北,55
002315,焦点科技,JDKJ_002315,2315,互联网,48,江苏,364
002386,天原集团,TYJT_002386,2386,化工原料,141,四川,113
002580,圣阳股份,SYGF_002580,2580,电气设备,154,山东,190
603063,禾望电气,HWDQ_603063,603063,电气设备,154,深圳,264
300127,银河磁体,YHCT_300127,300127,元器件,149,四川,113
002460,赣锋锂业,GFLY_002460,2460,小金属,33,江西,37
002150,通润装备,TRZB_002150,2150,机械基件,68,江苏,364
002365,永安药业,YAYY_002365,2365,化学制药,80,湖北,96
000798,中水渔业,ZSYY_000798,798,渔业,9,北京,302
000800,一汽轿车,YQJC_000800,800,汽车整车,24,吉林,42
300006,莱美药业,LMYY_300006,300006,化学制药,80,重庆,48
300382,斯莱克,SLK_300382,300382,专用机械,123,江苏,364
600804,鹏博士,PBS_600804,600804,电信运营,6,四川,113
300425,环能科技,HNKJ_300425,300425,环境保护,58,四川,113
002192,融捷股份,RJGF_002192,2192,专用机械,123,广东,283
600426,华鲁恒升,HLHS_600426,600426,农药化肥,47,山东,190
603036,如通股份,RTGF_603036,603036,专用机械,123,江苏,364
600667,太极实业,TJSY_600667,600667,半导体,55,江苏,364
002326,永太科技,YTKJ_002326,2326,化工原料,141,浙江,397
600521,华海药业,HHYY_600521,600521,化学制药,80,浙江,397
000488,晨鸣纸业,CMZY_000488,488,造纸,23,山东,190
600009,上海机场,SHJC_600009,600009,机场,4,上海,267
600330,天通股份,TTGF_600330,600330,元器件,149,浙江,397
002761,多喜爱,DXA_002761,2761,纺织,47,湖南,97
601558,*ST锐电,*STRD_601558,601558,电气设备,154,北京,302
600183,生益科技,SYKJ_600183,600183,元器件,149,广东,283
300141,和顺电气,HSDQ_300141,300141,电气设备,154,江苏,364
000822,山东海化,SDHH_000822,822,化工原料,141,山东,190
600793,宜宾纸业,YBZY_600793,600793,造纸,23,四川,113
300074,华平股份,HPGF_300074,300074,通信设备,105,上海,267
300398,飞凯材料,FKCL_300398,300398,染料涂料,21,上海,267
002432,九安医疗,JAYL_002432,2432,医疗保健,63,天津,49
002769,普路通,PLT_002769,2769,仓储物流,28,深圳,264
600961,株冶集团,ZYJT_600961,600961,铅锌,14,湖南,97
002137,麦达数字,MDSZ_002137,2137,元器件,149,深圳,264
000063,中兴通讯,ZXTX_000063,63,通信设备,105,深圳,264
002810,山东赫达,SDHD_002810,2810,化工原料,141,山东,190
002030,达安基因,DAJY_002030,2030,生物制药,41,广东,283
002693,双成药业,SCYY_002693,2693,化学制药,80,海南,30
300683,海特生物,HTSW_300683,300683,生物制药,41,湖北,96
600335,国机汽车,GJQC_600335,600335,汽车配件,113,天津,49
600567,山鹰纸业,SYZY_600567,600567,造纸,23,安徽,102
300202,聚龙股份,JLGF_300202,300202,专用机械,123,辽宁,73
002458,益生股份,YSGF_002458,2458,农业综合,25,山东,190
600262,北方股份,BFGF_600262,600262,汽车整车,24,内蒙,25
600652,游久游戏,YJYX_600652,600652,互联网,48,上海,267
002225,濮耐股份,PNGF_002225,2225,其他建材,26,河南,77
002413,雷科防务,LKFW_002413,2413,通信设备,105,江苏,364
002471,中超控股,ZCKG_002471,2471,电气设备,154,江苏,364
002675,东诚药业,DCYY_002675,2675,化学制药,80,山东,190
002047,宝鹰股份,BYGF_002047,2047,装修装饰,27,深圳,264
000939,凯迪生态,KDST_000939,939,新型电力,8,湖北,96
300227,光韵达,GYD_300227,300227,元器件,149,深圳,264
002171,楚江新材,CJXC_002171,2171,铜,14,安徽,102
300357,我武生物,WWSW_300357,300357,生物制药,41,浙江,397
