code,name,date,weight
601010,文峰股份,2017-06-01,0.15
600978,宜华生活,2017-06-01,0.32
600970,中材国际,2017-06-01,0.26
600826,兰生股份,2017-06-01,0.1
600825,新华传媒,2017-06-01,0.1
600790,轻纺城,2017-06-01,0.14
600720,祁连山,2017-06-01,0.13
600717,天津港,2017-06-01,0.28
600673,东阳光科,2017-06-01,0.35
600664,哈药股份,2017-06-01,0.23
600655,豫园商城,2017-06-01,0.32
600601,方正科技,2017-06-01,0.21
600594,益佰制药,2017-06-01,0.26
600468,百利电气,2017-06-01,0.06
600267,海正药业,2017-06-01,0.17
600198,大唐电信,2017-06-01,0.21
600176,中国巨石,2017-06-01,0.33
600166,福田汽车,2017-06-01,0.36
600143,金发科技,2017-06-01,0.25
600073,上海梅林,2017-06-01,0.16
300291,华录百纳,2017-06-01,0.18
300156,神雾环保,2017-06-01,0.5
300026,红日药业,2017-06-01,0.29
002701,奥瑞金,2017-06-01,0.25
002603,以岭药业,2017-06-01,0.22
002505,大康农业,2017-06-01,0.16
002400,省广股份,2017-06-01,0.25
002399,海普瑞,2017-06-01,0.21
002373,千方科技,2017-06-01,0.2
002179,中航光电,2017-06-01,0.3
002168,深圳惠程,2017-06-01,0.39
001696,宗申动力,2017-06-01,0.14
000979,中弘股份,2017-06-01,0.25
000930,中粮生化,2017-06-01,0.26
000897,津滨发展,2017-06-01,0.17
000877,天山股份,2017-06-01,0.17
000806,银河生物,2017-06-01,0.21
000786,北新建材,2017-06-01,0.33
000681,视觉中国,2017-06-01,0.12
000598,兴蓉环境,2017-06-01,0.27
000592,平潭发展,2017-06-01,0.16
000581,威孚高科,2017-06-01,0.35
000563,陕国投Ａ,2017-06-01,0.16
000543,皖能电力,2017-06-01,0.16
000517,荣安地产,2017-06-01,0.08
000099,中信海直,2017-06-01,0.13
000031,中粮地产,2017-06-01,0.22
000998,隆平高科,2017-06-01,0.37
002440,闰土股份,2017-06-01,0.19
002699,美盛文化,2017-06-01,0.09
000669,金鸿能源,2017-06-01,0.15
002106,莱宝高科,2017-06-01,0.15
600059,古越龙山,2017-06-01,0.12
002093,国脉科技,2017-06-01,0.09
600079,人福医药,2017-06-01,0.49
601678,滨化股份,2017-06-01,0.15
002390,信邦制药,2017-06-01,0.23
600757,长江传媒,2017-06-01,0.12
600580,卧龙电气,2017-06-01,0.12
600112,*ST天成,2017-06-01,0.08
000761,本钢板材,2017-06-01,0.04
002041,登海种业,2017-06-01,0.12
600597,光明乳业,2017-06-01,0.2
300159,新研股份,2017-06-01,0.3
600894,广日股份,2017-06-01,0.14
002013,中航机电,2017-06-01,0.28
600881,亚泰集团,2017-06-01,0.26
601000,唐山港,2017-06-01,0.32
600850,华东电脑,2017-06-01,0.12
600064,南京高科,2017-06-01,0.22
600481,双良节能,2017-06-01,0.13
002595,豪迈科技,2017-06-01,0.24
600811,东方集团,2017-06-01,0.25
600835,上海机电,2017-06-01,0.18
600917,重庆燃气,2017-06-01,0.04
600600,青岛啤酒,2017-06-01,0.26
002422,科伦药业,2017-06-01,0.37
000012,南 玻Ａ,2017-06-01,0.22
600088,中视传媒,2017-06-01,0.06
601777,力帆股份,2017-06-01,0.14
002672,东江环保,2017-06-01,0.23
002745,木林森,2017-06-01,0.07
002498,汉缆股份,2017-06-01,0.13
600528,中铁工业,2017-06-01,0.35
600639,浦东金桥,2017-06-01,0.17
600981,汇鸿集团,2017-06-01,0.05
000703,恒逸石化,2017-06-01,0.18
002281,光迅科技,2017-06-01,0.18
002029,七 匹 狼,2017-06-01,0.12
002001,新 和 成,2017-06-01,0.26
600483,福能股份,2017-06-01,0.09
000600,建投能源,2017-06-01,0.24
002025,航天电器,2017-06-01,0.18
600551,时代出版,2017-06-01,0.08
000727,华东科技,2017-06-01,0.21
600823,世茂股份,2017-06-01,0.15
600565,迪马股份,2017-06-01,0.22
600755,厦门国贸,2017-06-01,0.27
600611,大众交通,2017-06-01,0.18
000919,金陵药业,2017-06-01,0.09
002128,露天煤业,2017-06-01,0.16
600586,金晶科技,2017-06-01,0.12
600298,安琪酵母,2017-06-01,0.26
600537,亿晶光电,2017-06-01,0.12
002004,华邦健康,2017-06-01,0.31
600614,鹏起科技,2017-06-01,0.31
002268,卫 士 通,2017-06-01,0.2
002727,一心堂,2017-06-01,0.12
000975,银泰资源,2017-06-01,0.22
000572,海马汽车,2017-06-01,0.16
600736,苏州高新,2017-06-01,0.13
600651,飞乐音响,2017-06-01,0.15
600572,康恩贝,2017-06-01,0.23
603077,和邦生物,2017-06-01,0.16
000816,智慧农业,2017-06-01,0.22
600776,东方通信,2017-06-01,0.09
600039,四川路桥,2017-06-01,0.2
300088,长信科技,2017-06-01,0.4
000616,海航投资,2017-06-01,0.14
300032,金龙机电,2017-06-01,0.12
600284,浦东建设,2017-06-01,0.16
300274,阳光电源,2017-06-01,0.19
600292,远达环保,2017-06-01,0.12
002344,海宁皮城,2017-06-01,0.12
002368,太极股份,2017-06-01,0.15
000631,顺发恒业,2017-06-01,0.08
600410,华胜天成,2017-06-01,0.2
600312,平高电气,2017-06-01,0.26
600380,健康元,2017-06-01,0.18
600466,蓝光发展,2017-06-01,0.19
300043,星辉娱乐,2017-06-01,0.1
601016,节能风电,2017-06-01,0.09
300297,蓝盾股份,2017-06-01,0.13
002123,梦网集团,2017-06-01,0.14
002217,合力泰,2017-06-01,0.21
600729,重庆百货,2017-06-01,0.17
600884,杉杉股份,2017-06-01,0.21
600388,龙净环保,2017-06-01,0.33
600338,西藏珠峰,2017-06-01,0.12
600971,恒源煤电,2017-06-01,0.1
300001,特锐德,2017-06-01,0.17
002384,东山精密,2017-06-01,0.29
600180,瑞茂通,2017-06-01,0.1
600220,江苏阳光,2017-06-01,0.13
002503,搜于特,2017-06-01,0.17
002242,九阳股份,2017-06-01,0.16
601689,拓普集团,2017-06-01,0.18
600351,亚宝药业,2017-06-01,0.11
000566,海南海药,2017-06-01,0.3
603005,晶方科技,2017-06-01,0.09
000830,鲁西化工,2017-06-01,0.17
600187,国中水务,2017-06-01,0.18
600511,国药股份,2017-06-01,0.28
000810,创维数字,2017-06-01,0.15
002176,江特电机,2017-06-01,0.24
000860,顺鑫农业,2017-06-01,0.2
600201,生物股份,2017-06-01,0.56
600864,哈投股份,2017-06-01,0.07
300166,东方国信,2017-06-01,0.17
002698,博实股份,2017-06-01,0.08
000680,山推股份,2017-06-01,0.14
600216,浙江医药,2017-06-01,0.15
002051,中工国际,2017-06-01,0.24
600195,中牧股份,2017-06-01,0.11
600517,置信电气,2017-06-01,0.14
002250,联化科技,2017-06-01,0.21
600418,江淮汽车,2017-06-01,0.27
