code,name,industry,area
000587,金叶珠宝,批发业,黑龙江
000588,,,
000589,黔轮胎Ａ,汽车配件,贵州
000590,*ST古汉,中成药,湖南
000591,太阳能,新型电力,重庆
000592,平潭发展,林业,福建
000593,大通燃气,供气供热,四川
000594,,,
000595,宝塔实业,机械基件,宁夏
000596,古井贡酒,白酒,安徽
000597,东北制药,化学制药,辽宁
000598,兴蓉环境,水务,四川
000599,青岛双星,汽车配件,山东
000600,建投能源,火力发电,河北
000601,韶能股份,火力发电,广东
000602,,,
000603,盛达矿业,铅锌,北京
000605,渤海股份,水务,北京
000606,*ST明胶,化学制药,青海
000607,华媒控股,广告包装,浙江
000608,阳光股份,区域地产,广西
000609,绵世股份,区域地产,北京
000610,西安旅游,旅游服务,陕西
000611,*ST蒙发,纺织,内蒙
000612,焦作万方,铝,河南
000613,大东海A,旅游服务,海南
000615,湖北金环,化纤,湖北
000616,海航投资,全国地产,辽宁
000617,*ST济柴,机械基件,山东
000618,,,
000619,海螺型材,其他建材,安徽
000620,新华联,区域地产,北京
000621,,,
000622,恒立实业,汽车配件,湖南
000623,吉林敖东,中成药,吉林
000625,长安汽车,汽车整车,重庆
000626,如意集团,商贸代理,江苏
000627,天茂集团,化工原料,湖北
000628,高新发展,园区开发,四川
000629,攀钢钒钛,普钢,四川
000630,铜陵有色,铜,安徽
000631,顺发恒业,区域地产,吉林
000632,三木集团,综合类,福建
000633,合金投资,综合类,辽宁
000635,英 力 特,化工原料,宁夏
000636,风华高科,元器件,广东
000637,茂化实华,石油加工,广东
000638,万方发展,批发业,辽宁
000639,西王食品,食品,山东
000650,仁和药业,中成药,江西
000651,格力电器,家用电器,广东
000652,泰达股份,综合类,天津
000653,,,
000655,金岭矿业,普钢,山东
000656,金科股份,区域地产,重庆
000657,中钨高新,小金属,海南
000658,,,
000659,*ST中富,广告包装,广东
000660,,,
000661,长春高新,生物制药,吉林
000662,索芙特,日用化工,广西
000663,永安林业,林业,福建
000665,湖北广电,影视音像,湖北
000666,经纬纺机,纺织机械,北京
000667,美好集团,全国地产,云南
000668,荣丰控股,区域地产,上海
000669,金鸿能源,供气供热,吉林
000670,盈方微,元器件,湖北
000671,阳 光 城,区域地产,福建
000672,上峰水泥,水泥,甘肃
000673,当代东方,广告包装,山西
000675,,,
000676,智度投资,互联网,河南
000677,恒天海龙,化纤,山东
000678,襄阳轴承,机械基件,湖北
000679,大连友谊,百货,辽宁
000680,山推股份,工程机械,山东
000681,视觉中国,互联网,江苏
000682,东方电子,电气设备,山东
000683,远兴能源,化工原料,内蒙
000685,中山公用,水务,广东
000686,东北证券,证券,吉林
000687,华讯方舟,化纤,河北
000688,建新矿业,铅锌,重庆
000689,,,
000690,宝新能源,火力发电,广东
