code,name,date,weight
000425,徐工机械,2017-06-01,0.15
000166,申万宏源,2017-06-01,0.35
000100,TCL 集团,2017-06-01,0.26
000061,农 产 品,2017-06-01,0.06
300033,同花顺,2017-06-01,0.14
002475,立讯精密,2017-06-01,0.24
002081,金 螳 螂,2017-06-01,0.16
600875,东方电气,2017-06-01,0.11
600068,葛洲坝,2017-06-01,0.28
600111,北方稀土,2017-06-01,0.24
601009,南京银行,2017-06-01,0.42
601857,中国石油,2017-06-01,0.39
600085,同仁堂,2017-06-01,0.18
600660,福耀玻璃,2017-06-01,0.35
002292,奥飞娱乐,2017-06-01,0.08
000876,新 希 望,2017-06-01,0.17
600008,首创股份,2017-06-01,0.16
601998,中信银行,2017-06-01,0.19
600104,上汽集团,2017-06-01,1.1
600783,鲁信创投,2017-06-01,0.05
601608,中信重工,2017-06-01,0.07
002236,大华股份,2017-06-01,0.29
601766,中国中车,2017-06-01,1.03
000627,天茂集团,2017-06-01,0.09
000709,河钢股份,2017-06-01,0.18
000157,中联重科,2017-06-01,0.2
600208,新湖中宝,2017-06-01,0.17
600256,广汇能源,2017-06-01,0.13
601169,北京银行,2017-06-01,1.12
600089,特变电工,2017-06-01,0.32
601633,长城汽车,2017-06-01,0.15
002131,利欧股份,2017-06-01,0.08
002456,欧菲光,2017-06-01,0.31
600663,陆家嘴,2017-06-01,0.18
601006,大秦铁路,2017-06-01,0.51
601258,庞大集团,2017-06-01,0.14
600023,浙能电力,2017-06-01,0.24
600570,恒生电子,2017-06-01,0.18
601216,君正集团,2017-06-01,0.13
600031,三一重工,2017-06-01,0.27
600649,城投控股,2017-06-01,0.13
600648,外高桥,2017-06-01,0.07
600153,建发股份,2017-06-01,0.2
600895,张江高科,2017-06-01,0.13
300144,宋城演艺,2017-06-01,0.12
000538,云南白药,2017-06-01,0.49
002415,海康威视,2017-06-01,0.79
000917,电广传媒,2017-06-01,0.12
600583,海油工程,2017-06-01,0.14
600688,上海石化,2017-06-01,0.15
601988,中国银行,2017-06-01,0.81
601818,光大银行,2017-06-01,0.66
002146,荣盛发展,2017-06-01,0.14
600177,雅戈尔,2017-06-01,0.22
601727,上海电气,2017-06-01,0.22
002470,金正大,2017-06-01,0.11
600118,中国卫星,2017-06-01,0.16
600535,天士力,2017-06-01,0.27
000963,华东医药,2017-06-01,0.23
000738,航发控制,2017-06-01,0.09
600795,国电电力,2017-06-01,0.42
601377,兴业证券,2017-06-01,0.36
600703,三安光电,2017-06-01,0.4
000630,铜陵有色,2017-06-01,0.17
600606,绿地控股,2017-06-01,0.2
601985,中国核电,2017-06-01,0.37
600271,航天信息,2017-06-01,0.2
000559,万向钱潮,2017-06-01,0.13
601211,国泰君安,2017-06-01,0.91
600109,国金证券,2017-06-01,0.25
600252,中恒集团,2017-06-01,0.11
000002,万 科Ａ,2017-06-01,1.47
600010,包钢股份,2017-06-01,0.3
600737,中粮糖业,2017-06-01,0.09
600362,江西铜业,2017-06-01,0.13
000625,长安汽车,2017-06-01,0.28
000039,中集集团,2017-06-01,0.12
002202,金风科技,2017-06-01,0.24
000413,东旭光电,2017-06-01,0.19
300027,华谊兄弟,2017-06-01,0.13
601328,交通银行,2017-06-01,1.76
601877,正泰电器,2017-06-01,0.08
601288,农业银行,2017-06-01,1.41
000776,广发证券,2017-06-01,0.5
000768,中航飞机,2017-06-01,0.24
601669,中国电建,2017-06-01,0.38
000895,双汇发展,2017-06-01,0.22
600066,宇通客车,2017-06-01,0.28
600999,招商证券,2017-06-01,0.4
601668,中国建筑,2017-06-01,1.48
600038,中直股份,2017-06-01,0.1
601800,中国交建,2017-06-01,0.25
601601,中国太保,2017-06-01,0.99
600060,海信电器,2017-06-01,0.11
601018,宁波港,2017-06-01,0.23
600372,中航电子,2017-06-01,0.08
600030,中信证券,2017-06-01,1.32
601611,中国核建,2017-06-01,0.06
600893,航发动力,2017-06-01,0.19
600482,中国动力,2017-06-01,0.09
600340,华夏幸福,2017-06-01,0.32
600585,海螺水泥,2017-06-01,0.44
300072,三聚环保,2017-06-01,0.31
600376,首开股份,2017-06-01,0.12
600718,东软集团,2017-06-01,0.14
002183,怡 亚 通,2017-06-01,0.12
300070,碧水源,2017-06-01,0.35
002385,大北农,2017-06-01,0.13
000750,国海证券,2017-06-01,0.16
600705,中航资本,2017-06-01,0.28
000977,浪潮信息,2017-06-01,0.11
603000,人民网,2017-06-01,0.07
300059,东方财富,2017-06-01,0.3
601600,中国铝业,2017-06-01,0.29
300182,捷成股份,2017-06-01,0.1
300058,蓝色光标,2017-06-01,0.1
600690,青岛海尔,2017-06-01,0.45
600839,四川长虹,2017-06-01,0.13
002174,游族网络,2017-06-01,0.1
002049,紫光国芯,2017-06-01,0.12
600519,贵州茅台,2017-06-01,2.32
002304,洋河股份,2017-06-01,0.54
601186,中国铁建,2017-06-01,0.58
000778,新兴铸管,2017-06-01,0.14
600019,宝钢股份,2017-06-01,0.57
600332,白云山,2017-06-01,0.16
600685,中船防务,2017-06-01,0.08
601118,海南橡胶,2017-06-01,0.06
000651,格力电器,2017-06-01,1.68
600050,中国联通,2017-06-01,0.65
600373,中文传媒,2017-06-01,0.11
600446,金证股份,2017-06-01,0.08
002299,圣农发展,2017-06-01,0.06
300168,万达信息,2017-06-01,0.12
601618,中国中冶,2017-06-01,0.28
000858,五 粮 液,2017-06-01,0.94
601688,华泰证券,2017-06-01,0.59
000568,泸州老窖,2017-06-01,0.35
002230,科大讯飞,2017-06-01,0.3
