code,name,industry,area
600919,江苏银行,银行,江苏
600926,杭州银行,银行,浙江
600936,广西广电,影视音像,广西
600939,重庆建工,建筑施工,重庆
600958,东方证券,证券,上海
600959,江苏有线,影视音像,江苏
600960,渤海活塞,汽车配件,山东
600961,株冶集团,铅锌,湖南
600962,国投中鲁,软饮料,北京
600963,岳阳林纸,造纸,湖南
600965,福成股份,农业综合,河北
600966,博汇纸业,造纸,山东
600967,内蒙一机,运输设备,内蒙
600969,郴电国际,水力发电,湖南
600970,中材国际,建筑施工,江苏
600971,恒源煤电,煤炭开采,安徽
600973,宝胜股份,电气设备,江苏
600975,新五丰,农业综合,湖南
600976,健民集团,中成药,湖北
600977,中国电影,影视音像,北京
600978,宜华生活,家居用品,广东
600979,广安爱众,水力发电,四川
600980,北矿科技,元器件,北京
600981,汇鸿集团,商贸代理,江苏
600982,宁波热电,供气供热,浙江
600983,惠而浦,家用电器,安徽
600984,建设机械,工程机械,陕西
600985,雷鸣科化,化工原料,安徽
600986,科达股份,互联网,山东
600987,航民股份,纺织,浙江
600988,赤峰黄金,黄金,内蒙
600990,四创电子,通信设备,安徽
600992,贵绳股份,钢加工,贵州
600993,马应龙,中成药,湖北
600995,文山电力,水力发电,云南
600996,贵广网络,影视音像,贵州
600997,开滦股份,煤炭开采,河北
600998,九州通,医药商业,湖北
600999,招商证券,证券,深圳
601000,唐山港,港口,河北
601001,大同煤业,煤炭开采,山西
601002,晋亿实业,机械基件,浙江
601003,柳钢股份,普钢,广西
601005,*ST重钢,普钢,重庆
601006,大秦铁路,铁路,山西
601007,金陵饭店,酒店餐饮,江苏
601008,连云港,港口,江苏
601009,南京银行,银行,江苏
601010,文峰股份,超市连锁,江苏
601011,宝泰隆,焦炭加工,黑龙江
601012,隆基股份,半导体,陕西
601015,陕西黑猫,焦炭加工,陕西
601016,节能风电,新型电力,北京
601018,宁波港,港口,浙江
601020,华钰矿业,铅锌,西藏
601021,春秋航空,空运,上海
601028,玉龙股份,钢加工,江苏
601038,一拖股份,农用机械,河南
