code,name,industry,area
601991,大唐发电,火力发电,北京
601992,金隅股份,水泥,北京
601996,丰林集团,林业,广西
601997,贵阳银行,银行,贵州
601998,中信银行,银行,北京
601999,出版传媒,出版业,辽宁
603000,人民网,互联网,北京
603001,奥康国际,服饰,浙江
603002,宏昌电子,化工原料,广东
603003,龙宇燃油,石油贸易,上海
603005,晶方科技,半导体,江苏
603006,联明股份,汽车配件,上海
603007,花王股份,建筑施工,江苏
603008,喜临门,家居用品,浙江
603009,北特科技,汽车配件,上海
603010,万盛股份,化工原料,浙江
603011,合锻智能,机床制造,安徽
603012,创力集团,专用机械,上海
603015,弘讯科技,电气设备,浙江
603016,新宏泰,电气设备,江苏
603017,中衡设计,建筑施工,江苏
603018,中设集团,建筑施工,江苏
603019,中科曙光,电脑设备,天津
603020,爱普股份,食品,上海
603021,山东华鹏,玻璃,山东
603022,新通联,广告包装,上海
603023,威帝股份,汽车配件,黑龙江
603025,大豪科技,电脑设备,北京
603026,石大胜华,化工原料,山东
603027,千禾味业,食品,四川
603028,赛福天,钢加工,江苏
603029,天鹅股份,专用机械,山东
603030,全筑股份,装修装饰,上海
603031,安德利,百货,安徽
603032,德新交运,公路,新疆
603033,三维股份,橡胶,浙江
603035,常熟汽饰,汽车配件,江苏
603036,如通股份,专用机械,江苏
603037,凯众股份,汽车配件,上海
603038,华立股份,装修装饰,广东
603039,泛微网络,软件服务,上海
603040,新坐标,机械基件,浙江
603041,美思德,化工原料,江苏
603042,华脉科技,通信设备,江苏
603043,广州酒家,食品,广东
603050,科林电气,电气设备,河北
603055,台华新材,纺织,浙江
603058,永吉股份,广告包装,贵州
603060,国检集团,建筑施工,北京
603063,禾望电气,电气设备,深圳
603066,音飞储存,专用机械,江苏
603067,振华股份,化工原料,湖北
603069,海汽集团,公路,海南
603077,和邦生物,化工原料,四川
603078,江化微,化工原料,江苏
603079,圣达生物,食品,浙江
603081,大丰实业,专用机械,浙江
603085,天成自控,专用机械,浙江
603086,先达股份,农药化肥,山东
603088,宁波精达,专用机械,浙江
603089,正裕工业,汽车配件,浙江
603090,宏盛股份,专用机械,江苏
603096,新经典,出版业,天津
603098,森特股份,装修装饰,北京
603099,长白山,旅游服务,吉林
603100,川仪股份,电器仪表,重庆
603101,汇嘉时代,百货,新疆
603106,恒银金融,电脑设备,天津
603108,润达医疗,医药商业,上海
603111,康尼机电,运输设备,江苏
603113,金能科技,化工原料,山东
603116,红蜻蜓,服饰,浙江
603117,万林股份,仓储物流,江苏
603118,共进股份,通信设备,深圳
603123,翠微股份,百货,北京
603126,中材节能,环境保护,天津
603127,昭衍新药,医疗保健,北京
603128,华贸物流,仓储物流,上海
603129,春风动力,摩托车,浙江
603131,上海沪工,专用机械,上海
603133,碳元科技,元器件,江苏
603138,海量数据,软件服务,北京
603139,康惠制药,中成药,陕西
603157,拉夏贝尔,服饰,上海
603158,腾龙股份,汽车配件,江苏
603159,上海亚虹,专用机械,上海
603160,汇顶科技,元器件,深圳
603165,荣晟环保,造纸,浙江
603166,福达股份,汽车配件,广西
603167,渤海轮渡,水运,山东
603168,莎普爱思,化学制药,浙江
603169,兰石重装,专用机械,甘肃
603177,德创环保,环境保护,浙江
603178,圣龙股份,汽车配件,浙江
603179,新泉股份,汽车配件,江苏
603180,金牌厨柜,家居用品,福建
603181,皇马科技,化工原料,浙江
603183,建研院,建筑施工,江苏
603186,华正新材,元器件,浙江
603188,亚邦股份,染料涂料,江苏
603189,网达软件,软件服务,上海
603196,日播时尚,服饰,上海
603197,保隆科技,汽车配件,上海
603198,迎驾贡酒,白酒,安徽
603199,九华旅游,旅游服务,安徽
603200,上海洗霸,环境保护,上海
603203,快克股份,专用机械,江苏
603208,江山欧派,家居用品,浙江
603218,日月股份,工程机械,浙江
603222,济民制药,化学制药,浙江
603223,恒通股份,公路,山东
603225,新凤鸣,化纤,浙江
603226,菲林格尔,家居用品,上海
603227,雪峰科技,化工原料,新疆
603228,景旺电子,元器件,深圳
603229,奥翔药业,化学制药,浙江
603232,格尔软件,软件服务,上海
603233,大参林,医药商业,广东
603238,诺邦股份,纺织,浙江
603239,浙江仙通,汽车配件,浙江
603258,电魂网络,互联网,浙江
603266,天龙股份,塑料,浙江
603268,松发股份,陶瓷,广东
603269,海鸥股份,机械基件,江苏
603277,银都股份,专用机械,浙江
603286,日盈电子,汽车配件,江苏
603288,海天味业,食品,广东
603298,杭叉集团,专用机械,浙江
603299,井神股份,化工原料,江苏
603300,华铁科技,钢加工,浙江
603303,得邦照明,家用电器,浙江
603305,旭升股份,汽车配件,浙江
603306,华懋科技,汽车配件,福建
603308,应流股份,专用机械,安徽
603309,维力医疗,医疗保健,广东
603311,金海环境,专用机械,浙江
603313,梦百合,家居用品,江苏
603315,福鞍股份,机械基件,辽宁
603316,诚邦股份,建筑施工,浙江
603318,派思股份,专用机械,辽宁
603319,湘油泵,汽车配件,湖南
603320,迪贝电气,机械基件,浙江
603321,梅轮电梯,运输设备,浙江
603322,超讯通信,通信设备,广东
603323,吴江银行,银行,江苏
603326,我乐家居,家居用品,江苏
603328,依顿电子,元器件,广东
603330,上海天洋,塑料,上海
603331,百达精工,专用机械,浙江
603333,明星电缆,电气设备,四川
603335,迪生力,汽车配件,广东
603336,宏辉果蔬,农业综合,广东
603337,杰克股份,纺织机械,浙江
603338,浙江鼎力,专用机械,浙江
603339,四方冷链,专用机械,江苏
603345,安井食品,食品,福建
603355,莱克电气,家用电器,江苏
603357,设计总院,建筑施工,安徽
603358,华达科技,汽车配件,江苏
603359,东珠景观,建筑施工,江苏
603360,百傲化学,化工原料,辽宁
603363,傲农生物,饲料,福建
603366,日出东方,家用电器,江苏
603368,柳州医药,医药商业,广西
603369,今世缘,白酒,江苏
603377,东方时尚,汽车服务,北京
603380,易德龙,元器件,江苏
603383,顶点软件,软件服务,福建
603385,惠达卫浴,家居用品,河北
603386,广东骏亚,元器件,广东
603387,基蛋生物,生物制药,江苏
603388,元成股份,建筑施工,浙江
603389,亚振家居,家居用品,江苏
