code,name,industry,area
300441,鲍斯股份,机床制造,浙江
300442,普丽盛,轻工机械,上海
300443,金雷风电,专用机械,山东
300444,双杰电气,电气设备,北京
300445,康斯特,电器仪表,北京
300446,乐凯新材,化工原料,河北
300447,全信股份,电气设备,江苏
300448,浩云科技,软件服务,广东
300449,汉邦高科,电脑设备,北京
300450,先导智能,专用机械,江苏
300451,创业软件,软件服务,浙江
300452,山河药辅,化学制药,安徽
300453,三鑫医疗,医疗保健,江西
300455,康拓红外,运输设备,北京
300456,耐威科技,元器件,北京
300457,赢合科技,专用机械,深圳
