code,name,industry,area
300670,大烨智能,电气设备,江苏
300671,富满电子,半导体,深圳
300672,国科微,半导体,湖南
300673,佩蒂股份,饲料,浙江
300675,建科院,建筑施工,深圳
300676,华大基因,医疗保健,深圳
300677,英科医疗,医疗保健,山东
300678,中科信息,软件服务,四川
300679,电连技术,元器件,深圳
300680,隆盛科技,汽车配件,江苏
300681,英搏尔,元器件,广东
300682,朗新科技,软件服务,江苏
300683,海特生物,生物制药,湖北
300685,艾德生物,生物制药,福建
300686,智动力,元器件,深圳
300687,赛意信息,软件服务,广东
300688,创业黑马,综合类,北京
300689,澄天伟业,元器件,深圳
300690,双一科技,矿物制品,山东
300691,联合光电,元器件,广东
300692,中环环保,环境保护,安徽
300693,盛弘股份,电气设备,深圳
300695,N兆丰,汽车配件,浙江
300696,爱乐达,航空,四川
300697,电工合金,铜,江苏
300698,万马科技,通信设备,浙江
300699,光威复材,化工原料,山东
300700,岱勒新材,矿物制品,湖南
300701,森霸股份,电器仪表,河南
300702,天宇股份,化学制药,浙江
300703,创源文化,文教休闲,浙江
600000,浦发银行,银行,上海
600004,白云机场,机场,广东
600006,东风汽车,汽车整车,湖北
600007,中国国贸,园区开发,北京
600008,首创股份,环境保护,北京
600009,上海机场,机场,上海
600010,包钢股份,普钢,内蒙
600011,华能国际,火力发电,北京
600012,皖通高速,路桥,安徽
600015,华夏银行,银行,北京
600016,民生银行,银行,北京
600017,日照港,港口,山东
600018,上港集团,港口,上海
600019,宝钢股份,普钢,上海
600020,中原高速,路桥,河南
600021,上海电力,火力发电,上海
600022,山东钢铁,普钢,山东
600023,浙能电力,火力发电,浙江
600026,中远海能,水运,上海
600027,华电国际,火力发电,山东
600028,中国石化,石油加工,北京
600029,南方航空,空运,广东
600030,中信证券,证券,深圳
600031,三一重工,工程机械,湖南
600033,福建高速,路桥,福建
600035,楚天高速,路桥,湖北
600036,招商银行,银行,深圳
600037,歌华有线,影视音像,北京
600038,中直股份,航空,黑龙江
600039,四川路桥,建筑施工,四川
600048,保利地产,全国地产,广东
600050,中国联通,电信运营,上海
600051,宁波联合,综合类,浙江
600052,浙江广厦,区域地产,浙江
600053,九鼎投资,多元金融,江西
600054,黄山旅游,旅游景点,安徽
600055,万东医疗,医疗保健,北京
600056,中国医药,医药商业,北京
600057,象屿股份,仓储物流,福建
600058,五矿发展,商贸代理,北京
600059,古越龙山,红黄药酒,浙江
600060,海信电器,家用电器,山东
600061,国投安信,证券,上海
600062,华润双鹤,化学制药,北京
600063,皖维高新,化纤,安徽
600064,南京高科,园区开发,江苏
600066,宇通客车,汽车整车,河南
600067,冠城大通,全国地产,福建
600068,葛洲坝,建筑施工,湖北
600069,银鸽投资,造纸,河南
600070,浙江富润,纺织,浙江
600071,凤凰光学,元器件,江西
600072,中船科技,船舶,上海
600073,上海梅林,食品,上海
600074,保千里,电脑设备,江苏
600075,新疆天业,化工原料,新疆
600076,康欣新材,其他建材,山东
600077,宋都股份,全国地产,浙江
600078,澄星股份,化工原料,江苏
600079,人福医药,化学制药,湖北
600080,金花股份,中成药,陕西
600081,东风科技,汽车配件,上海
600082,海泰发展,园区开发,天津
600083,博信股份,建筑施工,广东
600084,中葡股份,红黄药酒,新疆
600085,同仁堂,中成药,北京
600086,东方金钰,服饰,湖北
600088,中视传媒,影视音像,上海
600089,特变电工,电气设备,新疆
600090,同济堂,医药商业,新疆
600091,ST明科,化工原料,内蒙
600093,易见股份,汽车配件,四川
600094,大名城,区域地产,上海
600095,哈高科,区域地产,黑龙江
600096,云天化,农药化肥,云南
600097,开创国际,渔业,上海
600098,广州发展,火力发电,广东
600099,林海股份,摩托车,江苏
600100,同方股份,电脑设备,北京
600101,明星电力,水力发电,四川
600103,青山纸业,造纸,福建
600104,上汽集团,汽车整车,上海
600105,永鼎股份,通信设备,江苏
600106,重庆路桥,路桥,重庆
600107,美尔雅,服饰,湖北
600108,亚盛集团,农业综合,甘肃
600109,国金证券,证券,四川
600110,诺德股份,电气设备,吉林
600111,北方稀土,小金属,内蒙
600112,*ST天成,电气设备,贵州
600113,浙江东日,区域地产,浙江
600114,东睦股份,机械基件,浙江
600115,东方航空,空运,上海
600116,三峡水利,水力发电,重庆
600117,西宁特钢,特种钢,青海
600118,中国卫星,航空,北京
600119,长江投资,仓储物流,上海
600120,浙江东方,商贸代理,浙江
600121,*ST郑煤,煤炭开采,河南
600122,宏图高科,其他商业,江苏
600123,兰花科创,煤炭开采,山西
600125,铁龙物流,铁路,辽宁
600126,杭钢股份,普钢,浙江
600127,金健米业,农业综合,湖南
600128,弘业股份,商贸代理,江苏
600129,太极集团,中成药,重庆
600130,波导股份,通信设备,浙江
600131,岷江水电,水力发电,四川
600132,重庆啤酒,啤酒,重庆
600133,东湖高新,园区开发,湖北
600135,乐凯胶片,化工原料,河北
600136,当代明诚,影视音像,湖北
600137,浪莎股份,服饰,四川
600138,中青旅,旅游服务,北京
600139,西部资源,铜,四川
600141,兴发集团,化工原料,湖北
600143,金发科技,塑料,广东
600145,*ST新亿,陶瓷,新疆
600146,商赢环球,塑料,宁夏
