code,name,industry,area
603556,海兴电力,电器仪表,浙江
603557,起步股份,服饰,浙江
603558,健盛集团,纺织,浙江
603559,中通国脉,通信设备,吉林
603566,普莱柯,生物制药,河南
603567,珍宝岛,中成药,黑龙江
603568,伟明环保,环境保护,浙江
603569,长久物流,仓储物流,北京
603577,汇金通,钢加工,山东
603578,三星新材,玻璃,浙江
603579,荣泰健康,医疗保健,上海
603580,艾艾精工,化工原料,上海
603585,苏利股份,化工原料,江苏
603586,金麒麟,汽车配件,山东
603588,高能环境,环境保护,北京
603589,口子窖,白酒,安徽
603595,东尼电子,元器件,浙江
603598,引力传媒,影视音像,北京
603599,广信股份,农药化肥,安徽
603600,永艺股份,家居用品,浙江
603601,再升科技,玻璃,重庆
603602,纵横通信,通信设备,浙江
603603,博天环境,环境保护,北京
603606,东方电缆,电气设备,浙江
603608,天创时尚,服饰,广东
603609,禾丰牧业,饲料,辽宁
603611,诺力股份,运输设备,浙江
603612,索通发展,矿物制品,山东
603615,茶花股份,家居用品,福建
603616,韩建河山,其他建材,北京
603617,君禾股份,专用机械,浙江
603618,杭电股份,电气设备,浙江
603619,中曼石油,专用机械,上海
603626,科森科技,专用机械,江苏
603628,清源股份,电气设备,福建
603630,拉芳家化,日用化工,广东
603633,徕木股份,元器件,上海
603636,南威软件,软件服务,福建
603637,镇海股份,建筑施工,浙江
603638,艾迪精密,专用机械,山东
603639,海利尔,农药化肥,山东
603648,畅联股份,仓储物流,上海
603656,泰禾光电,专用机械,安徽
603658,安图生物,医疗保健,河南
603660,苏州科达,通信设备,江苏
603663,三祥新材,矿物制品,福建
603665,康隆达,纺织,浙江
603667,五洲新春,机械基件,浙江
603668,天马科技,饲料,福建
603669,灵康药业,化学制药,西藏
603676,卫信康,化学制药,西藏
603677,奇精机械,机械基件,浙江
603678,火炬电子,元器件,福建
603679,华体科技,电气设备,四川
603686,龙马环卫,专用机械,福建
603688,石英股份,矿物制品,江苏
603689,皖天然气,供气供热,安徽
