code,name,industry,area
600455,博通股份,软件服务,陕西
600456,宝钛股份,小金属,陕西
600458,时代新材,塑料,湖南
600459,贵研铂业,小金属,云南
600460,士兰微,半导体,浙江
600461,洪城水业,水务,江西
600462,九有股份,元器件,深圳
600463,空港股份,园区开发,北京
600466,蓝光发展,区域地产,四川
600467,好当家,渔业,山东
600468,百利电气,电气设备,天津
600469,风神股份,汽车配件,河南
600470,六国化工,农药化肥,安徽
600475,华光股份,专用机械,江苏
600476,湘邮科技,软件服务,湖南
600477,杭萧钢构,钢加工,浙江
600478,科力远,元器件,湖南
600479,千金药业,中成药,湖南
600480,凌云股份,汽车配件,河北
600481,双良节能,环境保护,江苏
600482,中国动力,电气设备,河北
600483,福能股份,火力发电,福建
600485,信威集团,通信设备,北京
600486,扬农化工,农药化肥,江苏
600487,亨通光电,通信设备,江苏
600488,天药股份,化学制药,天津
600489,中金黄金,黄金,北京
600490,鹏欣资源,铜,上海
600491,龙元建设,建筑施工,浙江
600493,凤竹纺织,纺织,福建
600495,晋西车轴,运输设备,山西
600496,精工钢构,钢加工,安徽
600497,驰宏锌锗,铅锌,云南
600498,烽火通信,通信设备,湖北
600499,科达洁能,专用机械,广东
600500,中化国际,商贸代理,上海
600501,航天晨光,汽车配件,江苏
600502,安徽水利,建筑施工,安徽
600503,华丽家族,区域地产,上海
600505,西昌电力,水力发电,四川
600506,香梨股份,种植业,新疆
600507,方大特钢,特种钢,江西
600508,上海能源,煤炭开采,上海
600509,天富能源,火力发电,新疆
600510,黑牡丹,全国地产,江苏
600511,国药股份,医药商业,北京
600512,腾达建设,建筑施工,浙江
600513,联环药业,化学制药,江苏
600515,海航基础,百货,海南
600516,方大炭素,矿物制品,甘肃
600517,置信电气,电气设备,上海
600518,康美药业,中成药,广东
600519,贵州茅台,白酒,贵州
600520,中发科技,机械基件,安徽
600521,华海药业,化学制药,浙江
600522,中天科技,通信设备,江苏
600523,贵航股份,汽车配件,贵州
600525,长园集团,电气设备,深圳
600526,菲达环保,环境保护,浙江
600527,江南高纤,化纤,江苏
600528,中铁工业,建筑施工,四川
600529,山东药玻,医疗保健,山东
600530,交大昂立,医疗保健,上海
600531,豫光金铅,铅锌,河南
600532,宏达矿业,普钢,上海
600533,栖霞建设,区域地产,江苏
600535,天士力,中成药,天津
600536,中国软件,软件服务,北京
600537,亿晶光电,半导体,浙江
600538,国发股份,农药化肥,广西
600539,狮头股份,水泥,山西
600540,*ST新赛,种植业,新疆
600543,莫高股份,红黄药酒,甘肃
600545,新疆城建,建筑施工,新疆
600546,山煤国际,煤炭开采,山西
600547,山东黄金,黄金,山东
600548,深高速,路桥,深圳
600549,厦门钨业,小金属,福建
600550,保变电气,电气设备,河北
600551,时代出版,出版业,安徽
600552,凯盛科技,玻璃,安徽
600555,海航创新,旅游景点,海南
600556,ST慧球,软件服务,广西
600557,康缘药业,中成药,江苏
600558,大西洋,钢加工,四川
600559,老白干酒,白酒,河北
600560,金自天正,电气设备,北京
600561,江西长运,公路,江西
600562,国睿科技,通信设备,江苏
600563,法拉电子,元器件,福建
600565,迪马股份,全国地产,重庆
600566,济川药业,中成药,湖北
600567,山鹰纸业,造纸,安徽
600568,中珠医疗,区域地产,湖北
600569,安阳钢铁,普钢,河南
600570,恒生电子,软件服务,浙江
600571,信雅达,软件服务,浙江
600572,康恩贝,中成药,浙江
600573,惠泉啤酒,啤酒,福建
600575,皖江物流,水运,安徽
600576,万家文化,影视音像,浙江
600577,精达股份,电气设备,安徽
600578,京能电力,火力发电,北京
600579,天华院,化工机械,山东
600580,卧龙电气,电气设备,浙江
600581,八一钢铁,普钢,新疆
600582,天地科技,工程机械,北京
600583,海油工程,石油开采,天津
600584,长电科技,半导体,江苏
600585,海螺水泥,水泥,安徽
600586,金晶科技,玻璃,山东
600587,新华医疗,医疗保健,山东
600588,用友网络,软件服务,北京
600589,广东榕泰,塑料,广东
600590,泰豪科技,电气设备,江西
600592,龙溪股份,机械基件,福建
600593,大连圣亚,旅游景点,辽宁
600594,益佰制药,中成药,贵州
600595,中孚实业,铝,河南
600596,新安股份,农药化肥,浙江
600597,光明乳业,乳制品,上海
600598,北大荒,种植业,黑龙江
600599,熊猫金控,多元金融,湖南
600600,青岛啤酒,啤酒,山东
600601,方正科技,电脑设备,上海
600602,云赛智联,软件服务,上海
600603,广汇物流,综合类,福建
600604,市北高新,园区开发,上海
600605,汇通能源,商贸代理,上海
600606,绿地控股,全国地产,上海
600608,*ST沪科,普钢,上海
600609,金杯汽车,汽车整车,辽宁
600610,中毅达,建筑施工,上海
600611,大众交通,公共交通,上海
600612,老凤祥,服饰,上海
600613,神奇制药,中成药,上海
600614,鹏起科技,综合类,上海
600615,丰华股份,小金属,上海
600616,金枫酒业,红黄药酒,上海
600617,国新能源,供气供热,山西
600618,氯碱化工,化工原料,上海
600619,海立股份,机械基件,上海
600620,天宸股份,综合类,上海
600621,华鑫股份,全国地产,上海
600622,嘉宝集团,区域地产,上海
600623,华谊集团,汽车配件,上海
600624,复旦复华,综合类,上海
600626,申达股份,纺织,上海
600628,新世界,百货,上海
600629,华建集团,建筑施工,上海
600630,龙头股份,纺织,上海
600633,浙数文化,出版业,浙江
600634,富控互动,互联网,上海
600635,大众公用,供气供热,上海
600636,*ST爱富,化工原料,上海
600637,东方明珠,影视音像,上海
600638,新黄浦,区域地产,上海
600639,浦东金桥,园区开发,上海
600640,号百控股,酒店餐饮,上海
600641,万业企业,区域地产,上海
600642,申能股份,火力发电,上海
600643,爱建集团,多元金融,上海
600644,乐山电力,水力发电,四川
600645,中源协和,生物制药,天津
600647,同达创业,综合类,上海
600648,外高桥,园区开发,上海
600649,城投控股,区域地产,上海
600650,锦江投资,公共交通,上海
600651,飞乐音响,电器仪表,上海
600652,游久游戏,互联网,上海
600653,申华控股,汽车服务,上海
600654,*ST中安,软件服务,上海
600655,豫园商城,百货,上海
600657,信达地产,全国地产,北京
600658,电子城,园区开发,北京
600660,福耀玻璃,汽车配件,福建
600661,新南洋,文教休闲,上海
600662,强生控股,公共交通,上海
600663,陆家嘴,园区开发,上海
600664,哈药股份,化学制药,黑龙江
600665,天地源,全国地产,上海
600666,奥瑞德,元器件,重庆
600667,太极实业,半导体,江苏
600668,尖峰集团,水泥,浙江
600671,天目药业,中成药,浙江
600673,东阳光科,铝,广东
600674,川投能源,水力发电,四川
600675,中华企业,区域地产,上海
600676,交运股份,公共交通,上海
600677,航天通信,通信设备,浙江
600678,四川金顶,水泥,四川
600679,上海凤凰,文教休闲,上海
600680,*ST上普,通信设备,上海
600681,百川能源,供气供热,湖北
600682,南京新百,百货,江苏
600683,京投发展,区域地产,浙江
600684,珠江实业,全国地产,广东
600685,中船防务,船舶,广东
600686,金龙汽车,汽车整车,福建
600687,刚泰控股,黄金,甘肃
