code,name,industry,area
600688,上海石化,石油加工,上海
600689,上海三毛,纺织,上海
600690,青岛海尔,家用电器,山东
600691,阳煤化工,农药化肥,山西
600692,亚通股份,水运,上海
600693,东百集团,百货,福建
600694,大商股份,百货,辽宁
600695,绿庭投资,多元金融,上海
600696,*ST匹凸,区域地产,上海
600697,欧亚集团,百货,吉林
600698,湖南天雁,汽车配件,湖南
600699,均胜电子,汽车配件,浙江
600701,工大高新,综合类,黑龙江
600702,沱牌舍得,白酒,四川
600703,三安光电,半导体,湖北
600704,物产中大,商贸代理,浙江
600705,中航资本,多元金融,黑龙江
600706,曲江文旅,旅游服务,陕西
600707,彩虹股份,元器件,陕西
600708,光明地产,全国地产,上海
600710,ST常林,工程机械,江苏
600711,盛屯矿业,小金属,福建
600712,南宁百货,百货,广西
600713,南京医药,医药商业,江苏
600714,金瑞矿业,煤炭开采,青海
600715,文投控股,影视音像,辽宁
600716,凤凰股份,区域地产,江苏
600717,天津港,港口,天津
600718,东软集团,软件服务,辽宁
600719,大连热电,供气供热,辽宁
600720,祁连山,水泥,甘肃
600721,百花村,生物制药,新疆
600722,金牛化工,化工原料,河北
600723,首商股份,百货,北京
600724,宁波富达,区域地产,浙江
600725,ST云维,焦炭加工,云南
600726,华电能源,火力发电,黑龙江
600727,鲁北化工,农药化肥,山东
600728,佳都科技,软件服务,广东
600729,重庆百货,百货,重庆
600730,中国高科,综合类,北京
600731,湖南海利,农药化肥,湖南
600732,ST新梅,区域地产,上海
600733,S*ST前锋,区域地产,四川
600734,实达集团,电脑设备,福建
600735,新华锦,商贸代理,山东
600736,苏州高新,园区开发,江苏
600737,中粮糖业,食品,新疆
600738,兰州民百,百货,甘肃
600739,辽宁成大,商贸代理,辽宁
600740,山西焦化,焦炭加工,山西
600741,华域汽车,汽车配件,上海
600742,一汽富维,汽车配件,吉林
600743,华远地产,区域地产,北京
600744,华银电力,火力发电,湖南
600745,闻泰科技,通信设备,湖北
600746,江苏索普,化工原料,江苏
600747,*ST大控,多元金融,辽宁
600748,上实发展,全国地产,上海
600749,西藏旅游,旅游景点,西藏
600750,江中药业,中成药,江西
600751,天海投资,水运,天津
600753,东方银星,批发业,河南
600754,锦江股份,酒店餐饮,上海
600755,厦门国贸,商贸代理,福建
600756,浪潮软件,软件服务,山东
600757,长江传媒,出版业,湖北
600758,红阳能源,煤炭开采,辽宁
600759,洲际油气,石油开采,海南
600760,中航黑豹,汽车整车,山东
600761,安徽合力,工程机械,安徽
600763,通策医疗,医疗保健,浙江
600764,中电广通,通信设备,北京
600765,中航重机,机械基件,贵州
